fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
leanprover-community/SphereEversion,leanprover-community,SphereEversion,47,0,0.0008650948644855007,45,leanprover/lean4:v4.28.0,https://github.com/leanprover-community/sphere-eversion,165.66666666666666
madvorak/fecssk,madvorak,fecssk,16,0,0.0008650948644855007,28,leanprover/lean4:v4.2.0-rc1,https://github.com/madvorak/fecssk,166.0
PnVDiscord/software-foundations-lean,PnVDiscord,software-foundations-lean,30,0,0.0008650948644855007,37,leanprover/lean4:v4.21.0,https://github.com/PnVDiscord/software-foundations-lean,166.33333333333334
LeanMachineLearning/LeanMachineLearning,LeanMachineLearning,LeanMachineLearning,9,0,0.0008650948644855007,18,leanprover/lean4:v4.29.0,https://github.com/LeanMachineLearning/LML,167.0
jsm28/AM,jsm28,AM,15,0,0.0008650948644855007,26,leanprover/lean4:v4.30.0-rc2,https://github.com/jsm28/AperiodicMonotilesLean,167.66666666666666
runbikeswim/lean-semver,runbikeswim,lean-semver,5,0,0.0008650948644855007,15,leanprover/lean4:v4.29.1,https://github.com/runbikeswim/lean-semver,167.66666666666666
or4nge19/MCMC,or4nge19,MCMC,5,0,0.0008650948644855007,15,leanprover/lean4:v4.27.0-rc1,https://github.com/or4nge19/MCMC,167.66666666666666
risc0/risc0-lean4,risc0,risc0-lean4,77,0,0.0008650948644855007,63,leanprover/lean4:nightly-2022-12-23,https://github.com/risc0/risc0-lean4,168.66666666666666
leanprover/LeanSAT,leanprover,LeanSAT,56,1,0.0009570069608108995,66,leanprover/lean4:nightly-2024-08-02,https://github.com/leanprover/leansat,171.33333333333334
girving/interval,girving,interval,25,3,0.0010719443769161225,50,leanprover/lean4:v4.27.0-rc1,https://github.com/girving/interval,172.0
kmill/LeanTeX,kmill,LeanTeX,35,1,0.0009386245415458198,52,leanprover/lean4:v4.18.0-rc1,https://github.com/kmill/LeanTeX,172.33333333333334
AfonsoBitoque/LeanServer,AfonsoBitoque,LeanServer,11,0,0.0008650948644855007,23,leanprover/lean4:v4.27.0,https://github.com/AfonsoBitoque/LeanServer,173.66666666666666
lean-machines-central/lean-machines,lean-machines-central,lean-machines,26,1,0.0009386245415458198,46,leanprover/lean4:v4.23.0-rc2,https://github.com/lean-machines-central/lean-machines,174.33333333333334
Beneficial-AI-Foundation/FloatSpec,Beneficial-AI-Foundation,FloatSpec,9,0,0.0008650948644855007,20,leanprover/lean4:v4.29.0,https://github.com/Beneficial-AI-Foundation/FloatSpec,174.33333333333334
kovach/etch,kovach,etch,17,0,0.0008650948644855007,33,leanprover/lean4:v4.7.0,https://github.com/kovach/etch,175.33333333333334
nimarasekh/Formalization_SoSe25,nimarasekh,Formalization_SoSe25,19,0,0.0008650948644855007,34,leanprover/lean4:v4.22.0-rc3,https://github.com/nimarasekh/Formalization-SoSe25,175.66666666666666
Seasawher/Lean Book,Seasawher,Lean Book,11,0,0.0008650948644855007,24,leanprover/lean4:v4.30.0-rc2,https://github.com/Seasawher/lean-book,176.33333333333334
leanprover/lean4checker,leanprover,lean4checker,34,0,0.0008650948644855007,51,leanprover/lean4:v4.29.0-rc8,https://github.com/leanprover/lean4checker,178.33333333333334
leanprover/leanInk,leanprover,leanInk,66,0,0.0008650948644855007,69,leanprover/lean4:v4.6.0-rc1,https://github.com/leanprover/LeanInk,178.33333333333334
mseri/BET,mseri,BET,7,0,0.0008650948644855007,17,leanprover/lean4:v4.30.0-rc2,https://github.com/mseri/BET,178.33333333333334
hanwenzhu/MillerRabin,hanwenzhu,MillerRabin,7,0,0.0008650948644855007,17,leanprover/lean4:v4.22.0,https://github.com/hanwenzhu/miller-rabin,178.33333333333334
reilabs/proven-zk,reilabs,proven-zk,49,0,0.0008650948644855007,63,leanprover/lean4:v4.21.0,https://github.com/reilabs/proven-zk,179.0
RemyDegenne/testing_lower_bounds,RemyDegenne,testing_lower_bounds,13,0,0.0008650948644855007,29,leanprover/lean4:v4.13.0-rc3,https://github.com/RemyDegenne/testing-lower-bounds,179.33333333333334
MichaelStollBayreuth/Heights,MichaelStollBayreuth,Heights,5,0,0.0008650948644855007,16,leanprover/lean4:v4.30.0-rc2,https://github.com/MichaelStollBayreuth/Heights,181.33333333333334
